product_id,product_title,rating,total_reviews,price,top_reviews
itm4edf9ee3c6c2d,"Samsung Galaxy S25 Ultra 5G (Titanium Gray, 512 GB)",4.7,220,"₹1,41,999","5 Just wow! Overall Excellent phone READ MORE Sourav  Kumar Chanda Singh Gain Certified Buyer , Malkangiri 5 months ago 881 262 Permalink Report Abuse || 5 Terrific Excellent Product...I just loved it ❤️ READ MORE Khairul  Anam Certified Buyer , Thrissur 6 months ago 2008 629 Permalink Report Abuse || 5 Simply awesome Overall great experience. READ MORE Rupesh Mandal Certified Buyer , Gadchiroli 3 months ago 62 12 Permalink Report Abuse"
itm09d676ceb930d,"Samsung Galaxy S25 Ultra 5G (Titanium Black, 256 GB)",4.7,220,"₹1,15,999","5 Just wow! Overall Excellent phone READ MORE Sourav  Kumar Chanda Singh Gain Certified Buyer , Malkangiri 5 months ago 881 262 Permalink Report Abuse || 5 Terrific Excellent Product...I just loved it ❤️ READ MORE Khairul  Anam Certified Buyer , Thrissur 6 months ago 2008 629 Permalink Report Abuse || 5 Simply awesome Overall great experience. READ MORE Rupesh Mandal Certified Buyer , Gadchiroli 3 months ago 62 12 Permalink Report Abuse"
itmb4659fd2a037f,"OnePlus 13 (Black Eclipse, 256 GB)",4.5,17,"₹65,499","5 Perfect product! This phone is the beast phone. I just love it READ MORE Babul D Certified Buyer , Hyderabad 5 months ago 137 41 Permalink Report Abuse || 5 Super! It's a beast. Loved it. Will keep posted if any issues occur. READ MORE Jeevan Chand Certified Buyer , Noida 5 months ago 110 32 Permalink Report Abuse || 4 Pretty good Performance is best READ MORE Hatim Waziri Certified Buyer , Mubarakpur 5 months ago 99 29 Permalink Report Abuse"
itm7e57559a9aa18,"OnePlus 13 (Arctic Dawn, 256 GB)",4.5,17,"₹64,199","5 Perfect product! This phone is the beast phone. I just love it READ MORE Babul D Certified Buyer , Hyderabad 5 months ago 137 41 Permalink Report Abuse || 5 Super! It's a beast. Loved it. Will keep posted if any issues occur. READ MORE Jeevan Chand Certified Buyer , Noida 5 months ago 110 32 Permalink Report Abuse || 4 Pretty good Performance is best READ MORE Hatim Waziri Certified Buyer , Mubarakpur 5 months ago 99 29 Permalink Report Abuse"
